STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
7052,2021/10/27,11:19:00,2021,October,Wednesday,Based on Self Initiated,APP,POM,62,SGT,62,Y,O,P,PSB,5,OTHER,4,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,Y,N,N,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,Y,NaN,DE,UPSET,21,MALE,WHITE,5.9,165,MED,BLK,BLK,NaN,62,C,NaN,8743 21 AVE,21 AVE,984557,157986,PBBS,BROOKLYN
7053,2021/10/2,21:19:00,2021,October,Saturday,Based on Self Initiated,APP,POM,75,SGT,75,Y,O,P,PSB,1,CPW,1,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,N,N,Y,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DE,CALM,35,MALE,WHITE HISPANIC,5.7,190,MED,ZZZ,XXX,BLACK HAT ORANGE SHIRT BLACK PANTS DARK COLORED BAG,75,A,NaN,CRESCENT ST && GLEN ST,CRESCENT ST,1019928,187370,PBBN,BROOKLYN
7054,2021/10/2,20:30:00,2021,October,Saturday,Based on Self Initiated,APP,POM,75,SGT,75,Y,O,P,PSB,1,CPW,4,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,N,Y,Y,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DE,NERVOUS,28,MALE,WHITE HISPANIC,5.8,150,THN,ZZZ,BLK,WHITE SHIRT JEANS,75,B,NaN,SUTTER AVE && PENNSYLVANIA AVE,SUTTER AVE,1013453,183190,PBBN,BROOKLYN
7055,2021/11/7,03:27:00,2021,November,Sunday,Based on C/W on Scene,APP,LT,102,CPT,102,Y,NaN,P,PSB,3,CPW,1,Y,NaN,Y,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,N,N,N,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,Y,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DE,AGGRESSIVE/ AGITATED/ INTOXICATED,38,MALE,WHITE HISPANIC,6,325,HEA,BRO,BRO,MALE HISPANIC 325 LBS 6'0 RED SWEATER,102,A,NaN,127-07 ATLANTIC AVE,ATLANTIC AVE,1033878,192868,PBQS,QUEENS
7056,2021/11/7,03:27:00,2021,November,Sunday,Based on C/W on Scene,APP,POM,102,SGT,102,Y,O,P,PSB,1,CPW,1,Y,NaN,Y,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,N,N,N,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,Y,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DE,UNCOOPERATIVE,35,MALE,WHITE HISPANIC,6,300,HEA,BRO,BLK,MALE HISPANIC 6'0 APPROX 300 LBS RED SWEATER,102,A,NaN,127-07 ATLANTIC AVE,ATLANTIC AVE,1033878,192868,PBQS,QUEENS
7057,2021/11/7,20:58:00,2021,November,Sunday,Based on Self Initiated,APP,POM,52,LT,52,N,I,P,PSB,1,CPW,3,Y,NaN,Y,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,Y,Y,Y,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,Y,DE,COOPERATIVE,22,MALE,BLACK HISPANIC,5.1,165,THN,BLK,BLK,NaN,52,B,NaN,2710 MORRIS AVE,MORRIS AVE,1013156,255495,PBBX,BRONX
7058,2021/11/7,20:58:00,2021,November,Sunday,Based on Self Initiated,APP,POM,52,LT,52,N,I,P,PSB,1,CRIMINAL TRESPASS,3,Y,NaN,Y,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,Y,Y,Y,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,DE,COOPERATIVE,20,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BLK,NaN,52,B,NaN,2710 MORRIS AVE,MORRIS AVE,1013156,255495,PBBX,BRONX
7059,2021/11/3,14:38:00,2021,November,Wednesday,Based on Radio Run,APP,POM,67,SGT,67,Y,NaN,P,PSB,0,CPW,14,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,Y,N,N,N,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DE,CALM,18,MALE,BLACK,5.7,135,THN,BRO,BLK,BLACK HOODED JACKET GRAY JEANS WHITE SNEAKERS,67,B,NaN,FARRAGUT PL && E 31 ST,FARRAGUT PL,998923,171506,PBBS,BROOKLYN
7060,2021/11/3,22:19:00,2021,November,Wednesday,Based on Radio Run,APP,POM,67,SGT,67,N,O,NaN,NaN,2,ROBBERY,9,Y,NaN,N,Y,ROBBERY,N,NaN,Y,NaN,NaN,NaN,N,N,N,N,N,NaN,Y,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,CM,#N/A,44,FEMALE,BLACK,5.9,130,THN,BRO,BRO,NaN,67,E,NaN,1073 UTICA AVE,UTICA AVE,1003775,174890,PBBS,BROOKLYN
7061,2021/11/5,14:45:00,2021,November,Friday,Based on Radio Run,APP,POM,72,SGT,72,Y,O,P,PSB,1,PETIT LARCENY,10,Y,NaN,N,N,NaN,N,NaN,Y,NaN,NaN,NaN,N,N,N,N,N,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,Y,NaN,NaN,NaN,Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DE,CALM,47,MALE,WHITE HISPANIC,5.7,200,MED,BRO,GRY,BEARD LIGHT BLUE SURGICAL MASK,72,C,NaN,4611 5 AVE,5 AVE,981998,175003,PBBS,BROOKLYN
